"ChatGPT_0" "ChatGPT_1" "ChatGPT_10" "ChatGPT_11" "ChatGPT_12" "ChatGPT_13" "ChatGPT_14" "ChatGPT_15" "ChatGPT_16" "ChatGPT_17" "ChatGPT_18" "ChatGPT_19" "ChatGPT_2" "ChatGPT_20" "ChatGPT_21" "ChatGPT_22" "ChatGPT_23" "ChatGPT_24" "ChatGPT_25" "ChatGPT_26" "ChatGPT_27" "ChatGPT_28" "ChatGPT_29" "ChatGPT_3" "ChatGPT_30" "ChatGPT_31" "ChatGPT_32" "ChatGPT_33" "ChatGPT_4" "ChatGPT_5" "ChatGPT_6" "ChatGPT_7" "ChatGPT_8" "ChatGPT_9" "Jasper_0" "Jasper_1" "Jasper_10" "Jasper_11" "Jasper_12" "Jasper_13" "Jasper_14" "Jasper_15" "Jasper_2" "Jasper_3" "Jasper_4" "Jasper_5" "Jasper_6" "Jasper_7" "Jasper_8" "Jasper_9" "Perplexity_0" "Perplexity_1" "Perplexity_10" "Perplexity_11" "Perplexity_12" "Perplexity_13" "Perplexity_14" "Perplexity_15" "Perplexity_16" "Perplexity_17" "Perplexity_18" "Perplexity_19" "Perplexity_2" "Perplexity_20" "Perplexity_21" "Perplexity_22" "Perplexity_23" "Perplexity_24" "Perplexity_25" "Perplexity_26" "Perplexity_27" "Perplexity_28" "Perplexity_29" "Perplexity_3" "Perplexity_30" "Perplexity_31" "Perplexity_32" "Perplexity_33" "Perplexity_34" "Perplexity_35" "Perplexity_4" "Perplexity_5" "Perplexity_6" "Perplexity_7" "Perplexity_8" "Perplexity_9"
"ChatGPT_0" 0 0.514823609137528 0.675421053254604 0.599412151235237 0.466366790937857 0.689465751872523 0.71301804510463 0.721947086859979 0.617279525423829 0.682226777131378 0.74178255025241 0.597269164162029 0.531209047325004 0.652647177960117 0.615616870494537 0.692364313055915 0.640905237801146 0.639505283020749 0.682081119740379 0.5866101769214 0.713360227310606 0.642214592454152 0.595772660519148 0.61915705479423 0.518367897966502 0.730540690422109 0.737779640545894 0.761019936472639 0.585297275404518 0.660890491410902 0.680672794712684 0.638799890852574 0.65259916644486 0.557827566450103 0.506560317238106 0.608034314669936 0.585290840598129 0.698767293188163 0.594215014131264 0.600544294576744 0.65442508045761 0.710807634400238 0.696942850677439 0.59415123081213 0.624535656830282 0.608693708710238 0.635797616207023 0.692689020263287 0.711207196991587 0.635797616207023 0.404290404382982 0.512116999448832 0.63293608349206 0.675354473317871 0.656627463921352 0.725896500904979 0.638311661064939 0.730360349705611 0.745992917783736 0.645375603787202 0.708842848016564 0.692001583615949 0.490434488565539 0.620520320092283 0.657248861314621 0.587902449193285 0.640101212309872 0.715842190748937 0.717680574736233 0.688775762896264 0.714001738017982 0.600065183815623 0.84031215122646 0.695889273764014 0.672562401887136 0.664950949976915 0.682764798541234 0.696847270763171 0.740107264909322 0.552635214593331 0.58813144132119 0.60563433555949 0.612466189215854 0.633042175865901 0.6673719012241 0.583870011988972
"ChatGPT_1" 0.514823609137528 0 0.757584361270395 0.662917114404995 0.563758675997882 0.723541677865519 0.738187324677049 0.765804886615151 0.672127778523429 0.717343620818625 0.749208210256917 0.662217203045941 0.472195469572773 0.708132241772908 0.644051548719426 0.739509590754419 0.688051736465576 0.713868704066708 0.678974258044411 0.657527442840011 0.706507814532626 0.646838459513964 0.626010369188748 0.655469630364855 0.597823034795422 0.700660608573832 0.721637524664884 0.753438521457397 0.665080738637409 0.724972352444005 0.729247475875228 0.706333629230193 0.679767527087204 0.676287389933933 0.549287730253578 0.675131195721266 0.609363184395174 0.693196516859538 0.56262266242536 0.659838115797593 0.672661651238027 0.736361319808373 0.746328537241991 0.663738081432017 0.626947410269487 0.681882158675502 0.703124003575016 0.743305481600565 0.742048306428168 0.703124003575016 0.470771460199352 0.391779726249997 0.674152792962265 0.724406731845046 0.684843638939454 0.742992056124024 0.668443971922421 0.752373939047256 0.769534485759706 0.662997173185624 0.736982419487972 0.750884353502364 0.520996440026249 0.645884988076099 0.611446376045353 0.637061629509237 0.627572630783582 0.72298360684649 0.74073556129656 0.719804650083244 0.682830196684127 0.68657388914935 0.817971908680781 0.658469062357987 0.648811197237152 0.728663924090803 0.750675051218587 0.671687228354903 0.7359479521592 0.515040215979351 0.609101124238004 0.658407513322886 0.640394646878999 0.684925110341719 0.651605436337208 0.620494311402584
"ChatGPT_10" 0.675421053254604 0.757584361270395 0 0.69197892934828 0.678306791561621 0.721363268128802 0.753904343117271 0.811745034053697 0.731303945843549 0.786503877712623 0.835026027003557 0.801322349702624 0.78840880510418 0.85603806842979 0.595659787785972 0.745014058490203 0.733002606059697 0.617085207508058 0.725951909030489 0.744080548238817 0.684665260621311 0.839203369469388 0.694837950618628 0.70380801412059 0.643335245230917 0.686889488065834 0.723387950869496 0.72376837669506 0.560324961824295 0.680883083926393 0.695479607960602 0.629239065054712 0.743469166551904 0.715956064608299 0.644906802789936 0.686008967816436 0.86781266919551 0.796235151438374 0.68978866690502 0.711010574013262 0.730908456763392 0.728896591549121 0.834859144865638 0.655206633128508 0.707165339054089 0.747556423981599 0.708219594972285 0.750661589662262 0.792793435390269 0.708219594972285 0.639227387069677 0.702992402871927 0.695165124615957 0.715407982386984 0.810563743705613 0.78714164139021 0.711056717870843 0.811205643802599 0.771411461811636 0.708997883449506 0.767409876098744 0.876387719531997 0.703591985150945 0.790250412299576 0.802228835589777 0.609605641692532 0.704736564435851 0.767953721086684 0.771930037714674 0.593364283584561 0.645356879295327 0.803758424468235 0.903663996684508 0.753671730266959 0.820690031712794 0.855432682780239 0.785234763257528 0.802107060839176 0.825270533169554 0.610767166577423 0.556070684880713 0.697768333390178 0.683458709362022 0.662095018591796 0.720917988653241 0.716046714879394
"ChatGPT_11" 0.599412151235237 0.662917114404995 0.69197892934828 0 0.658609196953698 0.661594283124363 0.733024194902379 0.72993288547022 0.553909020510962 0.703319820519837 0.711556683621455 0.751059546889841 0.689803397067527 0.768632814377657 0.570673747308873 0.692862645254844 0.688067760425164 0.650788873220601 0.74690932828524 0.747934820028636 0.672911958370738 0.732994172685666 0.686309672579998 0.623656159111923 0.6023917348075 0.764284049719733 0.779201688690228 0.836115598430352 0.595354474900583 0.618914977354364 0.638399460005845 0.59718346464465 0.677994073008282 0.642386488209296 0.640718841607948 0.649337662082896 0.75420544420069 0.761350549393804 0.592553870699671 0.696508671342655 0.660424000953688 0.704971682997159 0.761081778267901 0.623863447101897 0.666880506175126 0.684872474511703 0.683545570038233 0.72469851664184 0.683156043441782 0.683545570038233 0.597680073830089 0.642274126614637 0.652698375649024 0.632758874639214 0.701713724780474 0.741392656962899 0.665003356450399 0.696724325222516 0.732975332154394 0.576959535451502 0.675693184955308 0.86961254673444 0.623618989271814 0.726146176646439 0.749892040623035 0.683354941357579 0.627438643153554 0.686127911640906 0.741557470591108 0.725927535799707 0.661412757946694 0.758381181507554 0.927014767758623 0.729853070482507 0.730695539873537 0.779867394895134 0.735793981601627 0.731631571595277 0.738048810200944 0.589720440995325 0.556102926731193 0.629898709251496 0.625692546931991 0.636371121916062 0.640586821653051 0.690079962975441
"ChatGPT_12" 0.466366790937857 0.563758675997882 0.678306791561621 0.658609196953698 0 0.667949462415391 0.676483665549104 0.642487536506456 0.650668013614926 0.727271007115591 0.730625563697059 0.541262267523995 0.564335690540033 0.527101026267195 0.605286843520865 0.61901221831946 0.635222533552454 0.655592964683485 0.665974316634802 0.461207613679083 0.654066036517051 0.651021561231405 0.541840016965873 0.596656318859302 0.534144139944958 0.66798671519171 0.663028560911683 0.697982613498824 0.646761064245 0.622866729153232 0.697073513730544 0.642990003529317 0.609698585924365 0.596971221238423 0.490369011975544 0.602073134484145 0.638677154573763 0.614175829453579 0.512522897635828 0.605601914232564 0.678681065802043 0.658073780342625 0.666304273676003 0.616984260545366 0.609412373353678 0.596642174774482 0.634150133481442 0.678384239565911 0.642096673119529 0.634150133481442 0.429314229895148 0.4543893283967 0.624473392061085 0.688163399393237 0.518398525287465 0.679789864287338 0.578687776633295 0.643719375719686 0.752142568916048 0.591752156399168 0.645629952012159 0.651543625657568 0.451178157779494 0.555133588216532 0.618000166977301 0.542539505609995 0.601742797156037 0.632188284901984 0.652280038863066 0.683550574805807 0.689747869803666 0.435039562396413 0.83636312184246 0.691899667938968 0.619443797911531 0.641579698026329 0.652415414385631 0.632864589275368 0.656757545910361 0.499767948711935 0.586958804776009 0.566397134913375 0.580804400446868 0.628789662387036 0.639588239678684 0.544168895391372
"ChatGPT_13" 0.689465751872523 0.723541677865519 0.721363268128802 0.661594283124363 0.667949462415391 0 0.651501064022428 0.570149424573545 0.741116932950968 0.779309710712048 0.804706490180247 0.770544914721249 0.773032190651756 0.794369269234476 0.693644823784016 0.702397910098755 0.710391764325326 0.667805391042869 0.764789439873847 0.783628280755807 0.688297507996737 0.716735081586167 0.704953330939088 0.737516473133268 0.649916048961349 0.760935981779202 0.762189191678537 0.767879642582393 0.6821903974281 0.688692581321742 0.707379797107692 0.684447916136523 0.712465547386937 0.663453239305533 0.681678083037261 0.696760681771665 0.788226757626076 0.75041151842403 0.628521993934624 0.764458446929048 0.691756205209343 0.673804768504581 0.755350479150009 0.684360700888169 0.680162186916934 0.722228152816354 0.658077447802199 0.761712410239936 0.74934245189453 0.658077447802199 0.646228426176684 0.696540058547073 0.710580686809312 0.736997244564216 0.744753868378733 0.546838052877867 0.639593979353001 0.614373381304398 0.803008173787398 0.635208229024997 0.766779474755463 0.809845997312675 0.657374129437591 0.735037496182276 0.709225251535342 0.657404671023617 0.71153167113867 0.749379354824325 0.834232799581891 0.732720168794651 0.75373106397001 0.746650269082457 0.925225885354606 0.816206141792566 0.716398885247876 0.812305044767556 0.783316299816342 0.762682964858336 0.763199093773777 0.64506853287636 0.621974481524554 0.699031044649811 0.636221129269999 0.650369374686711 0.726815939097423 0.65982328478003
"ChatGPT_14" 0.71301804510463 0.738187324677049 0.753904343117271 0.733024194902379 0.676483665549104 0.651501064022428 0 0.723624217014528 0.760983880607167 0.757881102124597 0.793877409211066 0.783198467884506 0.74095076798171 0.784698718100709 0.769779703280411 0.718023988702685 0.706400820036661 0.741969337591689 0.791533752296167 0.789728700721971 0.727436490279968 0.681199680812856 0.724638274955474 0.7664743014135 0.699148933855962 0.753913082962412 0.774642805058042 0.835222325906783 0.728349524291821 0.771722109371028 0.790958810053597 0.769622070158101 0.719298380232552 0.737043798609812 0.673351670889643 0.770620335816418 0.800637163631226 0.775088371042134 0.659065188599663 0.807965791414457 0.782945030740387 0.762880050558431 0.799777619221796 0.686862335213316 0.761892860296767 0.762504795532503 0.697510524383135 0.844210775184483 0.78853329138703 0.697510524383135 0.643821074052848 0.698858301860782 0.739840665156641 0.799354325956222 0.834043452166661 0.72863043125334 0.562930108061361 0.696473725820048 0.859528365269512 0.717425756445122 0.8049799347857 0.80748477537276 0.682477007065974 0.767378415583102 0.764537108800984 0.718168816502919 0.773015281977957 0.836984025861373 0.838660983232126 0.793991939386315 0.781995958022802 0.770186185799044 0.939542419124612 0.76752359468717 0.727190123871129 0.793651517254929 0.766713966711236 0.745297799984955 0.73886840425587 0.661161368849058 0.709195948525275 0.754727955810245 0.715975057908847 0.781605614816299 0.798275571508186 0.64590977673397
"ChatGPT_15" 0.721947086859979 0.765804886615151 0.811745034053697 0.72993288547022 0.642487536506456 0.570149424573545 0.723624217014528 0 0.698959208062783 0.802131616314955 0.816101695398148 0.813053718884943 0.77579418618767 0.756823993569445 0.783351594119191 0.789514549072116 0.757589697969803 0.689401282338456 0.808002638354464 0.78717362357203 0.786210531657278 0.787092630796985 0.738868385566933 0.794599964834673 0.732002268320827 0.751564028404159 0.748533692729674 0.784921843596501 0.75639420877602 0.751141174226603 0.729164501854158 0.731194564950453 0.737108057652918 0.74642358221217 0.668781574706098 0.752171319153599 0.829239950363869 0.813631769516366 0.636413389891383 0.797877510329035 0.765931810972676 0.750278990659835 0.82846034064833 0.727765278603527 0.727482018476097 0.778129149375255 0.731705122639499 0.809656854172828 0.807465714858508 0.731705122639499 0.664142975216051 0.713846015194023 0.796803972042204 0.833506287529707 0.830507811755907 0.593097651156812 0.626686953474996 0.482997848278031 0.897510453181703 0.684869889297957 0.807203696242311 0.878964843591028 0.696336675669879 0.804729652339146 0.757205390151364 0.663902768921398 0.80222409983344 0.804259034302515 0.838731396368177 0.746791724748242 0.785986250400058 0.764550213271323 0.903922562552607 0.855061736175406 0.73067806823057 0.843345060856808 0.795964554614109 0.766626223319746 0.820813173540316 0.620027266375437 0.716929531884443 0.729793426003535 0.735023005282793 0.719817394895961 0.743762393521491 0.732604737351823
"ChatGPT_16" 0.617279525423829 0.672127778523429 0.731303945843549 0.553909020510962 0.650668013614926 0.741116932950968 0.760983880607167 0.698959208062783 0 0.686833931185414 0.705779601464994 0.777886314457074 0.700324843217949 0.778612381994875 0.564634961665274 0.723180205779839 0.711311912931327 0.688024616146382 0.721030541972862 0.697988643336324 0.716609616714406 0.747711909924569 0.65531229348341 0.601008224185487 0.610546003625174 0.724178288524116 0.73439385589529 0.73556314331408 0.576431964623706 0.671556429082271 0.616527954277014 0.621375482357926 0.627745104753543 0.632061347081122 0.65352319437118 0.703707750081433 0.757108740987717 0.783146700834217 0.634215837450652 0.700251464929279 0.703678863172233 0.722681962612164 0.770365245396479 0.682394225876158 0.69268570943115 0.772055952230786 0.738768087428213 0.767027592296564 0.791504441280362 0.738768087428213 0.581047262696872 0.640627988803557 0.700320900635645 0.710266858730822 0.777361105263627 0.692600733716949 0.681599048002669 0.647562747503857 0.692263012507041 0.582566854084294 0.721330616195121 0.836126100570226 0.607244004933346 0.723399918706486 0.701311518708293 0.605733019137145 0.608790636674342 0.748298522854624 0.700143456393448 0.579939663426533 0.61576277601293 0.729348997590175 0.915903095445707 0.760134585366479 0.731721442026873 0.771616207697533 0.77970186523578 0.683248097290911 0.692648258041672 0.553088958410995 0.608671692904185 0.658331755382105 0.598156282090913 0.581928510805262 0.700221863660829 0.729195781941722
"ChatGPT_17" 0.682226777131378 0.717343620818625 0.786503877712623 0.703319820519837 0.727271007115591 0.779309710712048 0.757881102124597 0.802131616314955 0.686833931185414 0 0.699675424391094 0.845282612104691 0.784952280825408 0.872280528807992 0.704071574774055 0.776717295868679 0.727307456875493 0.749629897599666 0.714908482568609 0.831238472689988 0.771508011155942 0.807083561823698 0.765177038234308 0.77271528315241 0.648773881934582 0.80372204189927 0.834801478627997 0.869949366154251 0.698504402499319 0.758130033372535 0.747919005098701 0.754461945773986 0.664804796440308 0.719881751759801 0.725284434780676 0.775989300103962 0.850639401808545 0.813838448081758 0.707224769119617 0.752121321997732 0.774259297774588 0.783414786743456 0.820356043391114 0.722074054634389 0.774891242348266 0.794271698792656 0.799495453178382 0.857087889357222 0.737936801780854 0.799495453178382 0.662530304388693 0.635336798559258 0.736516384782181 0.841705373021471 0.877129986621474 0.856097048169052 0.769225677141867 0.799419764534096 0.782706364702484 0.781885193437376 0.770194619055442 0.915173155823198 0.665171687840272 0.815347399156609 0.759004535526246 0.743898687657175 0.820505160756706 0.809413295792194 0.782303779921035 0.779617575948423 0.673989024077629 0.841988354670758 0.876903389174082 0.785623910914015 0.777949378050595 0.886033953681501 0.79825292354786 0.787985890220518 0.824681009285203 0.699893863986206 0.640303392029642 0.719213715904195 0.692447717022861 0.746442135647836 0.693359743002868 0.723751685165759
